,header,datetime,text,label
46,How to protect birds and bats from wind turbines,04-06-21 6:08,As wind farm numbers explode researchers are coming up with more ways to keep wildlife safe.,science
47,Councillors call for online meetings to continue,11-05-21 0:15,There needs to be a change in law if we want to see the likes of Handforth Parish Council again.,technology
49,The 'cheeky' cockapoo who became an influencer,10-08-21 16:32,,technology
50,"Remove migrant crossing social posts, says Patel",06-06-21 17:50,"The home secretary says viral videos ""glamourise"" the Channel crossings undertaken by migrants.",technology
51,Amazon investigated by German anti-trust watchdog,18-05-21 21:00,New German laws mean the regulator can take faster action to prohibit any anti-competitive behaviour.,technology
52,Deepmind co-founder: How gaming can advance science.,17-06-21 21:13,,technology
53,How MetaHuman Creator helped me create ‘Dana’,13-07-21 16:41,,technology
54,Israelis and Palestinians turn to TikTok,15-05-21 6:07,"As fighting escalates, the social network has become a platform for airing grievances.",technology
55,Misinformation 'spreads faster than Covid',26-06-21 13:53,We chat to some young black people about why they don't want to get jabbed.,technology
56,Donald Trump hails Nigeria Twitter ban,09-06-21 16:55,The former US president urges other countries to restrict use of social media platforms.,technology
57,Aaliyah: 'Her influence is absolutely everywhere',20-08-21 6:41,"Her second album, One In A Million, is streaming for the first time, 20 years after her death.",technology
58,Dua Lipa revealed as most-played artist of 2020,09-06-21 15:31,"The singer was the biggest presence on UK radio last year, thanks to lockdown anthems like Physical.",technology
59,China's 'midnight patrol' to check age of gamers,07-07-21 21:33,Chinese gaming giant Tencent will scan gamers' faces to prevent children playing at night.,technology
60,Many film fans still staying away from cinemas,20-08-21 6:05,Box office takings in the past month are half of their pre-pandemic levels.,technology
61,Gang leader's claims rattle Turkish government,25-05-21 23:10,A Turkish gang boss's videos go viral with his claims of serious crimes by Turkish officials.,technology
62,Snowsill changed after 'scary' social media comments,16-07-21 14:09,,technology
63,El Salvador accepts Bitcoin as legal tender,07-09-21 15:06,Millions of Salvadorians are expected to download a digital wallet app with $30 of free Bitcoin.,technology
64,Fortnite: UK band Easy Life to play virtual gig,24-06-21 23:58,,technology
65,Apple boss Tim Cook testifies in Epic legal row,22-05-21 4:36,Apple's boss Tim Cook appears on the witness stand in the high-profile legal row with Epic Games.,technology
66,Boxer Lauren tastes success with a gold phone box,14-08-21 3:40,"The Olympic gold medallist was over the moon with the accolade dubbing it ""brilliant"".",technology
67,Star Wars company hires Mandalorian deepfaker,28-07-21 22:08,"The artist, who uses the online alias Shamook, has been recruited by Industrial Light and Magic.",technology
68,"Today at E3: Politics, polygons and palm trees",13-06-21 10:27,,technology
70,'Giving my sister a voice',01-07-21 6:03,,technology
71,Africrypt brothers deny Bitcoin 'heist',25-06-21 23:46,Investors accuse South African firm of absconding with Bitcoin valued at billions of dollars.,technology
72,Elon Musk scammers make millions in crypto-fraud,18-05-21 19:06,"Losses to fraudsters pretending to be celebrities rose 1,000% in a year, say US consumer officials.",technology
73,China cracks down on celebrity online culture,06-08-21 23:13,Weibo is to remove a list ranking celebrities by popularity on social media amid state criticism.,technology
74,Self-driving vehicles to be trialled in city,27-05-21 22:47,"It is hoped the vehicles, which carry up to 10 people, will transform public transport.",technology
76,Tinder tweak warns: 'Think before sending abuse',21-05-21 19:04,The dating app will detect abusive messages before they are sent and ask the writer to pause.,technology
78,China cracks down on illegal online child content,21-07-21 14:36,"Major online platforms like Weibo, Taobao and QQ have been fined and ordered to ""clean up"".",technology
79,Buying a pink NFT cat was a nightmare,30-05-21 6:05,Trying to own a virtual feline proves to be an exhausting and expensive process.,technology
81,How a fake network pushes pro-China propaganda,05-08-21 13:52,"The web of 350 fake social media profiles aims to discredit the West, sometimes with garish cartoons.",technology
82,NatWest launches 'urgent' cryptocurrency scam alert,27-05-21 19:23,A warning on NatWest's banking app warns customers to beware of cryptocurrency scams.,technology
83,Professor made MBE for Covid ventilator tests,12-06-21 5:04,Prof Thomas Clutton-Brock developed a rapid service for testing ventilators during the pandemic.,technology
84,Tesla profit surge driven by record car deliveries,27-07-21 5:00,The electric carmaker's revenues nearly doubled in the three months to 30 June compared with last year.,technology
85,Stars call for 'gadget levy' to fund UK creatives,29-06-21 7:23,"A small percentage of devices' cost should go into a fund for UK creators and performers, a group says.",technology
86,The rise of the TV show reunion,20-06-21 6:28,High-profile TV reunions have never been more popular - but why now and what makes one successful?,technology
87,US formally investigates Tesla Autopilot system,16-08-21 21:58,"The investigation covers all Tesla cars since 2014, focusing on crashes with emergency vehicles.",technology
88,Aaliyah's music will finally be available to stream,06-08-21 17:08,"The star's music has been out of print for most of the last two decades, after her death in 2001.",technology
89,'My motorhome has changed my life for the better',07-06-21 12:19,,technology
91,Click News: Nasa plans for robot to explore Titan,13-08-21 21:20,,technology
92,The Lazarus heist: How hackers tried to steal $1bn,21-06-21 6:46,In 2016 North Korean hackers planned a $1bn raid on Bangladesh's national bank and came within an inch of success. But how did they do it?,technology
93,Hall And Oates on the song that refused to die,09-06-21 6:44,The 80s pop duo explain how You Make My Dreams became a streaming colossus.,technology
96,"Investigation into hacked ""map"" of UK gun owners",02-09-21 0:20,"Animal rights activists have published a ""map"" of thousands of gun owners and their addresses.",science
97,Twitter tweaks new font after headache complaints,16-08-21 19:51,"Unveiled last week, the redesign involved high-contrast colours and a custom-designed font, Chirp.",technology
98,Internet revamp for the humble landline,16-08-21 21:59,The UK plans to make all landlines into internet-based connections over the next few years.,technology
99,Map 'glitch' shows dozens of city roads closed,10-06-21 22:26,"According to Google Maps and TomTom, barely any routes appear open through East Oxford.",technology
100,Could Covid vaccine be taken as a pill?,26-07-21 6:06,"Researchers are looking at easier ways for people to get the vaccine, including via inhalers and tablets.",health
102,How Bitcoin's vast energy use could burst its bubble,25-05-21 22:09,Could the cryptocurrency's huge electricity consumption also sink it?,technology
104,WhatsApp to let users message without their phones,15-07-21 22:51,"For the first time, billions of people will be able to use the service even if their phone has no battery.",technology
106,Sex video woman's suicide shocks Italy,29-05-21 6:21,Four people are being investigated in Italy in connection with the suicide of a young woman who battled for months to have a sex video removed from the internet.,technology
107,Are we all becoming unknowing spies?,21-07-21 8:07,We may be stepping into a world in which we are all spies - and at the same time are all spied on.,technology
108,Trackers reveal little penguin feeding behaviour,27-08-21 17:31,,technology
109,Hackers steal $600m in major cryptocurrency heist,11-08-21 22:41,Thousands of digital tokens have been stolen by hackers in one of the largest cryptocurrency heists.,technology
110,Russian gay family flees to Spain after threats,06-08-21 21:13,The lesbian family suffered homophobic abuse after appearing in a Russian health food ad.,technology
111,Mobile phone ban plan to improve school behaviour,29-06-21 7:20,"Phone bans and other ways to create ""calm classrooms"" are considered in a consultation on discipline.",technology
112,Record your cough to help beat Covid - government,13-08-21 21:03,"The government wants people to send in samples of themselves breathing, coughing and reading aloud.",technology
113,Euro 2020 racism: File on 4 confronts Saka troll,07-09-21 15:15,One racist troll tracked down by the BBC says social media companies should have banned him for longer.,technology
114,Twitter works with news sites to tackle disinformation,03-08-21 6:20,Twitter announces it will cooperate with two news agencies to promote more reliable information.,technology
115,Zoom bets billions on home working continuing,19-07-21 23:44,"The firm announces a $14.7bn (£10.7bn) deal to buy Five9, a cloud-based call centre operator.",technology
116,Bristol company hosted notorious child-abuse site,16-06-21 15:03,"Companies are urged to work harder against those ""profiting financially from the rape and abuse of children"".",technology
117,How hackers are using gamers to become crypto-rich,25-06-21 7:21,"Crackonosh malware, which mines for cryptocurrency, is being hidden in free versions of popular games.",technology
118,Warship positions faked including UK carrier,03-08-21 0:14,Nearly 100 naval ships may have had their locations faked through manipulation of AIS safety system.,technology
119,Google investigated over 'dominance' in ad market,22-06-21 18:59,The investigation will look into all aspects of Google's involvement in the digital-advertising market.,technology
120,Hong Kong brushes off Big Tech privacy law concern,06-07-21 12:46,An industry body has warned that tech companies could stop offering services if the new law goes ahead.,technology
121,Why it's the end of the road for petrol stations,11-06-21 6:05,"Many petrol stations will close over the next 20 years, accelerating the shift to electric cars.",technology
125,How your driving may reveal early signs of Alzheimer's,13-07-21 6:02,Research shows how small changes in the way you drive could expose preclinical signs of disease.,technology
126,Car industry 'not losing out to north of England',22-07-21 16:55,"About 11,000 people make car components in Wales, but about 4,000 jobs have been lost since 2019.",technology
127,Irish Covid jabs to go ahead despite cyber attack,15-05-21 20:57,Vaccinations will continue despite an attack described as the most significant in the state's history.,technology
129,Fresh warning over rip-off locator forms on Google,29-07-21 7:01,'Devious' sites which charge money for a free passenger locator form top search engine results.,technology
130,"Bitcoin tumbles below $30,000 on China crackdown",22-06-21 23:02,The cryptocurrency slides to its lowest value for five months after China tells banks to stop supporting transactions.,technology
131,VR helps Indians and Pakistanis visit their lost homes,24-08-21 6:03,,technology
132,Can more tech make video meetings less excruciating?,27-07-21 6:00,Technology firms are scrambling to add new features but will video calls improve.,technology
133,What is the SpaceX Crew Dragon?,04-08-21 20:39,"A guide to SpaceX's Crew Dragon vehicle, which carries astronauts to the space station.",technology
134,Anti-Semitic social posts 'not taken down',02-08-21 19:24,A report tracking hundreds of anti-Semitic social posts finds firms fail to act in 80% of cases.,technology
135,Why showers can wreck your weather app's forecast,02-06-21 17:36,,technology
136,Colonial Pipeline boss 'deeply sorry' for hack,08-06-21 23:56,Joseph Blount said the decision to pay hackers a $4.4m (£3.1m) ransom was the toughest in his career.,technology
137,Dog training tips from 'small-town boy' TikTok star,19-07-21 20:31,,technology
139,Lisbon gave protesters' data to embassies,19-06-21 4:06,"Data was illegally shared in 52 cases in 2018-19, with reports citing embassies of China and Russia.",technology
140,ByteDance co-founder Zhang to step down as CEO,20-05-21 11:56,The hugely popular short-video app was regularly criticised by former President Donald Trump.,technology
141,Royal Navy tests drones above and below waves,19-07-21 23:21,"A broad exercise saw the navy test scouts, resupply, and underwater reconnaissance drones.",technology
142,Instagram sorry for censoring Almodovar poster,12-08-21 0:28,The advert for revered Spanish director Pedro Almodovar's new film features a lactating nipple.,technology
143,New police CCTV use rules criticised as bare bones,17-08-21 6:51,"However, the guidelines empowered police and maintained public trust, the Home Office says.",technology
144,Porn age block missing from Online Safety Bill,18-05-21 7:03,"Campaigners are ""astonished"" that a promised age check for porn is not in the Online Safety Bill.",technology
145,India online retail giant Flipkart raises $3.6bn,13-07-21 11:17,This brings the Walmart-backed firm's value to almost $38bn ahead of its expected market debut.,business
146,Cyber-attack on Air India server affects millions,22-05-21 11:44,"Passport details, ticket information and credit card data were compromised in the February attack.",technology
147,Girl exposes racism in her homework,09-06-21 12:13,,technology
148,'Ransomware hackers looking to hit the public',02-06-21 20:56,,technology
149,Shares in China tuition firms slump after shake-up,26-07-21 15:30,It is one of the biggest ever overhauls of China's $120bn private tutoring industry.,business
150,Newport chip plant's sale to Chinese firm reviewed,08-07-21 1:18,Boris Johnson's national security adviser is examining the purchase of Newport Wafer Fab.,technology
151,Sharing apps boom but will the kindness continue?,10-08-21 6:02,The pandemic sparked a surge in activity for sharing apps like Olio but has the trend run its course?,technology
152,The millionaire tech inventor 'thrown away' as a baby,06-06-21 6:33,"Entrepreneur Freddie Figgers says life has taught him that the important thing is people, not profits.",technology
153,Watford shirt sponsor deal paid in cryptocurrency,22-07-21 19:25,"The Premier League club says it has signed a ""club-record"" deal with an online betting company.",technology
154,"Tesla will no longer accept Bitcoin, says Elon Musk",13-05-21 15:56,The initial decision made by Tesla in March to accept Bitcoin caused an outcry from environmentalists.,technology
155,Kim Kardashian crypto ad singled out by watchdog,07-09-21 1:47,An Instagram ad by the influencer was criticised in a speech by FCA chairman Charles Randell.,technology
157,"Facebook, Google expect jabs for office return",30-07-21 21:29,The tech companies will require vaccination for returning in-office employees as Covid-19 cases rise in US,technology
158,How cow poo is powering crypto mining,09-06-21 10:56,One company is trying to persuade small-scale renewable generators to mine crypto currency.,technology
159,Universities keep lectures online into autumn term,18-05-21 18:25,"A student petition calls it ""ridiculous"" as some UK universities keep lectures online for next term.",technology
160,Bitcoin demand after Instagram business hacked,26-05-21 12:51,,technology
161,How did cyber-attackers shut off a US pipeline?,11-05-21 2:54,"Attacks on critical national infrastructure are an increasing concern, experts say.",technology
163,Trust in news has 'grown in UK during pandemic',23-06-21 7:08,"Appetite for reliable reporting has increased but trust still below pre-Brexit levels, report says.",technology
164,Protecting Vietnam's paddy fields,20-05-21 6:01,,technology
166,Click News: Robot Eva mimics human emotions,04-06-21 16:29,,technology
168,"'Bitcoin fraud cost me £500,000'",04-09-21 10:18,A successful businessman saw his life savings wiped out when he fell victim to ruthless fraudsters.,technology
170,Mobile roaming charges: What you need to know,09-09-21 17:39,"How much more will Britons have to pay to use their mobiles in Europe, now the UK has left the EU?",technology
171,Right-to-repair movement gains ground,07-07-21 20:13,Lawmakers and advocates want to give consumers more choice when it comes to fixing devices.,technology
172,Have we reached the era of flying cars?,01-07-21 14:18,,technology
173,Ex-reality TV stars' 'misleading' debt ads banned,02-06-21 18:50,Stars from Only Way is Essex and Geordie Shore have Instagram debt adverts banned by the regulator.,technology
175,Facebook tests ads in virtual reality headsets,18-06-21 19:35,The ads will appear in only a few games at first as the firm assesses users' reactions.,technology
176,Public urged not to probe TikTok family house arson,21-07-21 17:52,Nick Smith said his family could have been killed when their house caught fire in a suspected arson.,technology
177,BBC criticised over Cheryl R&B podcast,01-09-21 22:59,The BBC Sounds and Radio 2 commission has been criticised for not having a black host.,technology
178,Chip shortage addressed by US-EU tech alliance,17-06-21 19:09,The partnership will also see working groups looking at emerging technologies such as AI.,technology
179,An app to help blind people to 'see',02-07-21 17:52,,technology
180,US lawmakers introduce bills targeting Big Tech,12-06-21 7:23,"The bills target Amazon, Apple, Facebook and Google and some of the anti-trust actions they stand accused of.",technology
181,China accused of cyber-attack on Microsoft,20-07-21 0:28,"The UK, US and EU have accused China of carrying out an attack on Microsoft Exchange email servers.",technology
182,Trial delay over Captain Sir Tom Moore tweet,02-06-21 19:27,"Joseph Kelly denies sending an ""offensive"" post about the NHS fundraiser shortly after his death.",technology
183,Can ministers use private emails for work?,01-07-21 17:59,Ex-Health Secretary Matt Hancock and others face criticism over using personal accounts for official business.,technology
184,Could your next tweet break the law?,28-05-21 23:15,A lawyer tells Newsbeat we should all think twice before posting anything online.,technology
185,US officer plays Taylor Swift to try to block video,03-07-21 3:40,The officer in Oakland wanted to prevent activists filming him from uploading the video to YouTube.,technology
186,Misconduct hearing over councillor's slavery meme,25-06-21 22:56,Darlington Borough Council says Pauline Culley's post broke its code of conduct.,technology
187,Should paying hacker ransoms be banned?,20-05-21 6:25,"As cyber-attacks intensify around the world, two experts argue for or against a ban on payments",technology
188,Tech firms use remote monitoring to help honey bees,14-06-21 6:11,"From Ireland to Israel, companies are coming to the aid of the environmentally critical insect.",technology
190,Covid 'purifier' ad banned by watchdog,23-06-21 10:40,An advert which claimed an air purifier could kill off Covid cells is banned as misleading.,technology
191,Stephen Bear charged with sharing sexual images,14-05-21 20:24,"The reality star will appear in court on 2 July, following arrest in January.",technology
192,Do robot lawn-mowers kill hedgehogs?,12-05-21 23:07,Researchers discover that some lawn-mowers are capable of delivering life-threatening injuries.,technology
194,Piers Morgan attacks Ikea for GB News ads boycott,16-06-21 15:42,The Swedish giant is among a number of companies who are pausing adverts on the new news channel.,technology
195,The story behind TikTok's Show me the Life Hack,16-06-21 12:27,,technology
196,Netflix to keep using UK regulator's age ratings,07-09-21 7:18,The streaming giant and the regulator will work together long term after a successful trial.,technology
197,'I thought I was too old to be on TikTok',26-05-21 7:50,,technology
198,Blackmailing sex offender has jail term increased,27-05-21 20:58,David Wilson posed as teenage girls online and blackmailed 52 boys into sending indecent images.,technology
199,MPs call for complete reset of music streaming,15-07-21 6:42,"The music industry is weighted against artists, who see ""pitiful returns"" from streaming, MPs say.",technology
200,James Charles fans 'send death threats' to producer,13-05-21 19:02,Kelly Rocklein says she has received abuse since her legal action against the YouTuber became public.,technology
201,Man raises money for 'trolled' young Germany fan,02-07-21 18:16,"The little girl was filmed crying after Germany lost to England, then was abused on social media.",technology
202,As it happened: Rio Ferdinand on online racism,09-09-21 15:21,The former England was giving evidence to MPs and Peers about the government's draft Online Safety Bill.,technology
203,The YouTubers who stood for mayor of London,20-05-21 6:01,,technology
204,'Little by little we're breaking down taboos',16-05-21 15:21,"Emily Barclay's social media support group has grown from 1,200 members to more than 19,000 in a year.",technology
205,Mario Golf: Super Rush review,06-07-21 17:33,,technology
207,Gun owners' fears after firearms dealer data breach,22-07-21 23:57,Thousands of records from the popular shotgun and rifle sales site Guntrader were posted to the dark web.,technology
208,Battery-powered trains part of rail expansion plan,15-07-21 23:37,Dual power means the trains could run beyond the current network as far as Wrexham and Preston.,technology
209,"Flight of the Sky Lion: 'Like VR, but no headset'",17-06-21 17:39,,technology
210,Shein investigates ‘false’ anti-Uyghur job ads,28-08-21 6:01,Shein said it did not fund or approve adverts that suggested some ethnic minorities need not apply.,business
211,Gang behind huge cyber-attack demands $70m,05-07-21 19:14,"The authors of a ""colossal"" ransomware attack demand the sum in Bitcoin in return for a key to unlock all files.",technology
213,Twitter releases 'Blue' subscription service,03-06-21 21:20,Australia and Canada are the first two countries to get access to the enhanced Twitter product.,technology
214,Vineyards set to go high tech with smart systems,26-07-21 20:05,,technology
215,Apple employees make US labour watchdog complaints,03-09-21 23:59,Two employees have filed charges against Apple with the US National Labor Relations Board.,technology
216,Is TikTok the future of busking?,06-07-21 5:59,,technology
218,Click News: Robot dog in dance-off with boy band,02-07-21 22:05,,technology
219,Hackers steal nearly $100m in Japan crypto heist,20-08-21 10:35,The incident comes days after $600m of cryptocurrencies was stolen from another digital platform.,technology
220,Irish government briefed over cyber attacks,18-05-21 0:20,Cyber security authorities believe they have identified the gang behind the ransomware hacks.,technology
221,PC given warning over inappropriate TikTok videos,10-07-21 3:47,"The police watchdog says one video contained ""inappropriate commentary"" on the pandemic.",technology
223,Is this the era of shopping focused social media?,08-09-21 23:40,,technology
224,SolarWinds hack: Russian denial 'unconvincing',18-05-21 17:48,The director of Russia’s Foreign Intelligence Service denied it was behind the cyber-attack.,technology
225,How your data is being scraped from social media,16-07-21 6:05,"As hackers scoop up data from social media sites, should firms be taking better care of your data?",technology
226,Esports: Why are there so few women pros?,07-09-21 6:14,,technology
227,Twitter trials upvote and downvote buttons,22-07-21 19:39,Some iOS users will see thumb and arrow buttons as the company experiments with voting.,technology
228,Stones and Jones call for streaming reforms,07-06-21 15:55,More than 230 artists write to the Prime Minister calling for fairer payments on streaming services.,technology
229,Photographer shoots intricate scenes with Star Wars Lego,31-07-21 6:10,,technology
231,Why coders love the AI that could replace them,07-09-21 6:01,Artificial intelligence is getting better at penning code but still a long way from working alone.,technology
232,Covid app settings changing to send fewer alerts,10-07-21 3:55,Alterations to take place amid fears that millions would be asked to isolate as people mixed more.,technology
233,Apple pays millions in iPhone-repair photo case,08-06-21 21:39,Intimate images and videos were shared from a woman's iPhone while it was being repaired.,technology
235,Microsoft Windows' blue screen of death goes black,02-07-21 17:37,The new colour in the Windows 11 operating system matches the new black logon and shutdown screens.,technology
236,Click News: Will Digit the robot take your job?,03-09-21 19:39,,technology
237,Microsoft fixes critical PrintNightmare bug,07-07-21 21:00,"A patch has been issued for a serious flaw in Windows, exploited by hackers.",technology
239,The Amazon sellers selling their businesses for millions,01-07-21 6:10,Small e-commerce entrepreneurs have thrived in lockdown - now big money wants to buy them out.,technology
240,Bank scammer threatens BBC reporter,13-07-21 6:01,,technology
241,What’s it like to have spyware on your phone?,20-07-21 2:12,,technology
242,Bolsonaro aims to stop tech firms blocking content,07-09-21 5:54,"Brazil's president signs a decree requiring firms to provide ""just cause"" before removing posts.",technology
243,Scarlett Johansson sues Disney over streaming,30-07-21 23:30,The star says box office takings for Black Widow were hit when it was streamed at the same time.,technology
244,French court convicts 11 over online abuse of teen,07-07-21 17:21,"Mila, now 18, posted videos criticising Islam and is receiving 24-hour police protection.",technology
245,OnlyFans: How it handles illegal sex videos,20-08-21 5:21,Announcement came as leaked documents revealed Only Fans had some “tolerance” for accounts that posted illegal content.,technology
246,British music exports reach a record high,16-06-21 10:21,"Artists like Dua Lipa, Coldplay and The Beatles help the British music industry make £500m overseas.",technology
247,The relatives frozen in time on Google Street View,17-06-21 19:59,People are sharing ways in which the mapping tool has accidentally connected them with dead relatives.,technology
248,"Investment giant to pay vaccinated workers $1,000",05-08-21 2:42,"Asset manager Vanguard will reward staff who get jabbed, but it won't mandate vaccinations.",business
250,"Classic Bentleys, Rolls-Royce adapted to electric",10-08-21 16:58,,technology
251,Chinese unite online to aid flood victims,22-07-21 22:46,China's Weibo platform became an online space connecting people seeking help with rescue teams.,technology
252,"No need to swap data for drinks, says privacy body",17-08-21 6:00,"Some pub ordering apps ask too many questions, but you can refuse, says the information watchdog.",technology
253,"Tanker blast evidence points to Iran, says US",07-08-21 6:42,The attack on the Israeli-operated merchant tanker last week killed two people.,technology
254,Tech Tent: Can social media stop abuse?,16-07-21 17:06,Experts suggest ways Facebook and Twitter could get to grips with the problem.,technology
255,Instagram launches abusive message 'limits',11-08-21 19:20,"Instagram launches a feature to automatically hide most comments during ""spikes"" of abuse.",technology
256,Heart app aims to cut NHS waiting lists,05-08-21 17:37,Cardiac patients will be monitored remotely by mobile phone during a trial of the app by clinicians.,technology
257,Love Island star Demi Jones diagnosed with cancer,21-05-21 21:11,The reality TV star announced the news to fans through her Instagram.,technology
258,Nintendo closes the show with Zelda,16-06-21 4:04,,technology
260,Tim Berners-Lee sells web source code NFT for $5.4m,01-07-21 1:05,"The sale came with a bundle of assets, including an animated video and a letter from Sir Tim.",technology
262,'I run my business from my pimped-up camper van',05-08-21 12:12,Liam Chester was burnt out with work so he converted a camper van to take his office into nature.,business
263,'Use Covid app in Wales' despite England changes,09-07-21 21:22,"The NHS app covers England and Wales, but key social distancing rules may differ from 19 July.",technology
264,"Election hopeful sorry for sexist, abusive tweets",24-08-21 20:49,"Lib Dem candidate Thom Campion says the hate-filled posts ""did not reflect"" his views today.",technology
265,Facebook warns growth set to slow 'significantly',29-07-21 4:32,The technology giant said on Wednesday that the third and fourth quarters would see advertising sales drop.,technology
266,Tech Tent: Did e-Estonia beat the virus?,21-05-21 16:19,It's the most digital government on Earth - but did that help when the pandemic hit?,technology
267,"Microsoft pays staff $1,500 for work in pandemic",10-07-21 0:00,The tech firm says the payment is a symbol of appreciation for what has been a challenging year.,technology
268,The new trick cyber-criminals use to cash out,13-08-21 6:15,Bitcoin researchers discover a new darknet tool criminals are using to help launder their digital money.,technology
269,US watchdog criticises Facebook's NYU ban claim,07-08-21 1:12,"In a letter to Mark Zuckerberg, the FTC criticises the social network for inaccurate statements.",technology
272,Pig that survived 2008 Chinese earthquake dies,17-06-21 15:38,"Zhu Jianqiang, or ""Strong-Willed Pig"", was seen as a symbol of hope and resilience.",technology
273,Over-60s with only virtual contact 'more lonely',26-07-21 21:48,UK-US research finds old people who used only telephone and online communication were more lonely.,technology
274,Ryan Tedder: Classic songs are strangling new music,27-08-21 6:12,"New bands don't have a chance because everyone is streaming Queen and ABBA, says the OneRepublic star.",technology
